"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"PX6P+CWQ Regal Chowk, Lahore - Sargodha Rd, Mohalla Ahmedpura, Sheikhupura, Punjab, Pakistan","6",,,,,,,"PX6P+CWQ Regal Chowk, Lahore - Sargodha Rd","978","Gourmet Foods","31.7110922","73.9873476","Bakery","$$","4"
"H6V7+24J, Unnamed Road, Kot Nur Sha, Sheikhupura, Punjab, Pakistan","8",,,,,,,"H6V7+24J, Unnamed Road","34","Doce Bakeries","31.5925884","74.2127553","Bakery",,"4"
"PRXG+HVX, Lahore - Sargodha Rd, Islampura, Farooqabad, Sheikhupura, Punjab, Pakistan","6",,,,,,,"PRXG+HVX, Lahore - Sargodha Rd","262","Gourmet Sweets & Bakers Farooqabad","31.7489894","73.8272215","Bakery",,"3.9"
"RJMC+2C4, Lahore Rd, Khanqah Dogran, Nankana Sahib, Punjab, Pakistan","7",,,,,,,"RJMC+2C4, Lahore Rd","340","Gourmet Bakers & Sweets","31.8325162","73.6210719","Bakery",,"3.9"
"Shabbashtan Chownk, Bhikhi Rd, city, Sheikhupura, Punjab 39345, Pakistan","15",,,,,,"39345","Shabbashtan Chownk, Bhikhi Rd","3","Cake Home Bakers & Sweets","31.7023937","73.9825893","Bakery",,"4.3"
"99G8+54X, Kahna Nau, Kahna, Lahore, Punjab, Pakistan","4",,,,,,,"99G8+54X","341","Bundu Khan","31.3754905","74.3653626","Bakery","$$","4.3"
"89HM+5GW, Central Park Housing Scheme, Lahore, Punjab, Pakistan","5",,,,,,,"89HM+5GW","116","Bundu Khan Sweets & Bakers","31.3279758","74.383815","Bakery",,"4.4"
"66QJ+32C, Raiwind Rd, Raiwind, Lahore, Kasur, Punjab, Pakistan","2",,,,,,,"66QJ+32C, Raiwind Rd","95","Madni Sweets & Baker's","31.2376802","74.2300262","Bakery",,"4.2"
"C936+9F3, Lahore – Kasur Rd, Satellite Town, Lahore, Punjab 54000, Pakistan","9",,,,,,"54000","C936+9F3, Lahore – Kasur Rd","1005","Butt Sweets & Bakers","31.403397","74.3611671","Bakery",,"4"
"Block P1 Block P 1 Valencia, Lahore, Punjab, Pakistan","11",,,,,,,,"1724","Cakes & Bakes","31.3943489","74.2553419","Bakery","$$","4.2"
"54C4+CGH، Main Bazar، near Canal Bank, Kot Radha Kishan, Kasur, Punjab 55180, Pakistan","9",,,,,,"55180","54C4+CGH، Main Bazar، near Canal Bank","287","Punjab Sweets And Bakers.","31.1695494","74.100587","Bakery",,"4"
"7C59+464, Service Road, Mustafa Abad, Kasur, Punjab, Pakistan","10",,,,,,,"7C59+464, Service Road","58","Nice Bakers and sweet","31.2577726","74.4180783","Bakery",,"4.1"
