"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"Boys' high school","30.8176667","74.1681862","5","R599+377",,"R599+377, Kotha, Kasur, Punjab, Pakistan",,"Govt High School kotha","2"
,,,,,"Primary school","30.8014596","74.2134074","5","R627+H9M",,"R627+H9M, Dhangianwali, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
"2","0","0","0","0","Technical school","30.9297333","74.1214444","5","Orbital Ai Solutions Atari Karam Singh Teh Chunian",,"Orbital Ai Solutions Atari Karam Singh Teh Chunian, Talwandi, Kasur, 55020, Pakistan","55020","Orbital Ai Solutions","2"
,,,,,"Primary school","30.9316768","74.174262",,"W5JF+MPC",,"W5JF+MPC, Bughiana Khurd, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.9333394","74.1124739",,"W4M6+8XQ",,"W4M6+8XQ, Atari Karam Singh, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.9639176","74.1051716",,"X474+H37",,"X474+H37, Dobli, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.9731044","74.1786652",,"X5FH+6FV",,"X5FH+6FV, Rajwal Kuhna, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"School","30.974682","74.0872892",,"X3FP+VWF",,"X3FP+VWF, Tibba Mondeke, Kasur, Punjab, Pakistan",,"Govt p/s school","0"
,,,,,"School","30.8237533","74.208413","5","R6F5+G93",,"R6F5+G93, Kul, Kasur, Punjab, Pakistan",,"Govt High School (Boys)","1"
,,,,,"Middle school","30.8136096","74.238598",,"R67Q+CCX",,"R67Q+CCX, Najabat, Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","0"
,,,,,"School","30.9746944","74.1552756",,"X5F4+V4C دہونکل روڑ محلہ",,"X5F4+V4C دہونکل روڑ محلہ, Sikander Pura, وزیر آباد, Punjab, Pakistan",,"العصرسکول","0"
,,,,,"Middle school","30.8472918","74.2357462",,"R6WP+W79",,"R6WP+W79, Garewala, Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","0"
,,,,,"Middle school","30.81299","74.23743",,"R67P+5X",,"R67P+5X, Najabat, Kasur, Punjab, Pakistan",,"GHS NAJABAT","0"
,,,,,"Primary school","30.8557805","74.1516621",,"V542+8M7",,"V542+8M7, Kot Khadim Hussain, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
